 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,,,Al At%,Cu At%,Mg At%,Fe At%,Mn At%,Si At%,O At%,,Type
1,64,"1,298,156","31,125","40,870",1294,26,9,12,0.481,"13,892",1295,38,"59,744","8,050","1,945",0.514,0.790,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
2,25,"1,222,220","29,620","20,728",1218,28,9,4,0.731,"9,220",1218,31,"12,529","4,000","2,661",0.376,0.833,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
3,36,"1,445,194","36,583","22,142",1442,33,6,8,0.923,"8,602",1443,33,"125,538","6,000","1,426",0.701,0.889,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
4,386,"778,632","55,389","105,640",769,39,20,31,0.435,"32,573",772,39,"107,879","19,576","1,872",0.534,0.770,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
5,36,"850,278","42,167","21,556",847,39,7,7,0.974,"7,810",848,39,"129,806","7,000","1,080",0.926,0.878,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
6,21,"1,319,929","42,024","18,142",1317,39,6,6,0.802,"7,810",1317,45,"39,806","4,472","2,007",0.498,0.792,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
7,86,"201,965","46,802","33,799",197,42,10,11,0.946,"12,207",199,52,"55,008","10,000","1,126",0.888,0.925,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
8,214,"958,416","52,346","56,971",952,43,13,19,0.829,"21,095",953,61,"58,570","12,540","1,629",0.614,0.939,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
9,63,"683,913","51,198","28,971",680,46,8,10,0.943,"10,817",681,56,"56,310","8,000","1,323",0.756,0.900,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
10,116,"188,181","57,664","43,113",183,50,12,15,0.784,"15,811",184,50,"108,435","11,963","1,379",0.725,0.879,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
11,51,"930,775","55,461","26,971",927,51,8,9,0.881,"11,402",927,51,"127,875","7,603","1,531",0.653,0.879,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
12,13,"1,170,346","54,038","12,728",1168,52,5,4,"1,000","5,385",1168,53,"158,199","4,000","1,416",0.706,0.812,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
13,12,"1,180,000","54,000","11,314",1178,52,4,4,"1,000","4,472",1179,52,"116,565","4,000","1,000","1,000",0.857,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
14,38,"1,494,026","59,763","25,899",1492,54,4,11,0.712,"11,402",1493,54,"105,255","4,000","2,630",0.380,0.938,,,85.78,7.29,1.07,1.91,1.12,0.74,2.09,,Secondary
15,12,"273,250","58,833","11,899",271,57,4,4,"1,000","5,000",272,61,"53,130","4,000","1,135",0.881,0.857,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
16,21,"479,214","62,929","16,728",476,60,6,5,0.943,"6,708",476,62,"153,435","5,000","1,306",0.766,0.857,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
17,16,"439,375","64,500","14,142",437,62,5,5,"1,000","5,831",438,62,"120,964","4,243","1,452",0.689,0.821,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
18,69,"1,683,239","68,341","31,799",1679,62,8,12,0.857,"12,369",1683,62,"104,036","8,000","1,568",0.638,0.890,,,51.8089725,24.26435118,20.65846599,0.156777617,0,0.434153401,2.677279305,,S-phase
19,116,"1,728,647","69,957","41,698",1723,63,12,14,0.838,"15,811",1724,77,"55,305","11,314","1,446",0.692,0.885,,,52.74384138,23.6230723,21.56018426,0,0,0,2.072902063,,S-phase
20,146,"472,527","72,301","46,527",466,65,13,16,0.848,"16,763",470,81,"72,646","13,000","1,222",0.818,0.890,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
21,35,"1,220,643","68,671","21,556",1217,65,7,7,0.947,"9,220",1217,66,"139,399","5,657","1,561",0.641,0.897,,,92.07079292,2.499750025,1.199880012,0.339966003,0.259974003,0.359964004,3.269673033,,Secondary
22,23,"1,664,848","68,761","17,899",1663,65,4,7,0.902,"8,062",1663,65,"119,745","4,000","1,931",0.518,0.920,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
23,134,"1,440,030","74,336","45,355",1433,67,14,15,0.819,"16,643",1435,67,"122,735","12,021","1,509",0.663,0.890,,,71.02,17.98,0.67,6.26,1.53,0.34,2.2,,Secondary
24,33,"449,288","73,288","32,870",443,69,12,9,0.384,"13,892",443,77,"30,256","4,438","4,594",0.218,0.635,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
25,462,"1,602,446","87,587","125,439",1589,72,32,31,0.369,"36,620",1594,73,"124,992","22,746","1,636",0.611,0.734,,,71.76691289,5.029897995,0,8.72317974,6.284441318,6.694805956,1.500762106,,Secondary
26,15,"1,632,033","74,167","13,899",1630,72,4,5,0.976,"5,831",1630,72,"120,964","4,000","1,392",0.718,0.882,,,74.39952438,21.73602854,1.343638526,0,0.095124851,0,2.42568371,,Unknown
27,130,"1,217,331","79,123","47,941",1209,73,16,12,0.711,"16,492",1209,78,"165,964","11,659","1,526",0.655,0.844,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
28,110,"1,027,045","80,236","37,213",1022,74,11,12,0.998,"13,038",1024,74,"122,471","11,000","1,066",0.938,0.948,,,68.71,27.74,1.19,0,0.44,0.26,1.66,,Theta
29,94,"618,255","83,628","36,042",613,78,11,12,0.909,"13,601",614,78,"126,027","10,286","1,287",0.777,0.900,,,70.93290671,18.80811919,8.149185081,0,0,0.229977002,1.879812019,,Unknown
30,13,"728,346","82,038","12,728",726,80,5,4,"1,000","5,385",726,81,"158,199","4,000","1,416",0.706,0.812,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
31,19,"323,342","83,289","15,314",321,81,5,5,"1,000","6,403",321,81,"141,340","4,919","1,260",0.794,0.864,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
32,71,"1,646,627","91,415","34,042",1643,85,8,12,0.770,"13,038",1643,85,"122,471","8,000","1,488",0.672,0.887,,,72.06279372,17.36826317,0.479952005,5.079492051,2.679732027,0.499950005,1.829817018,,Secondary
